ID_HECHO,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,COMUNA,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
2019-0030,1,2019-04-09,16.0,CALLE,7.0,Point (100800.05107565 100531.46552448),-58.45457546,-34.62447891,CARGAS
2019-0031,1,2019-04-12,19.0,AVENIDA,1.0,Point (108602.89777103 103429.39485413),-58.36951669,-34.59832047,CARGAS
2019-0032,1,2019-04-16,11.0,AVENIDA,11.0,Point (99921.70768730 102754.71427746),-58.46415322,-34.6044379,AUTO
2019-0033,1,2019-04-18,1.0,AUTOPISTA,1.0,Point (108916.48040002 100856.88142642),-58.36607137,-34.62150748,
2019-0034,1,2019-04-21,9.0,AVENIDA,7.0,Point (100726.63402530 97597.06610219),-58.45537373,-34.65093074,OBJETO FIJO
2019-0035,1,2019-04-23,14.0,CALLE,1.0,Point (107693.66022765 103185.01912141),-58.37942637,-34.60053054,BICICLETA
2019-0036,1,2019-04-26,22.0,CALLE,6.0,Point (102429.80070706 100864.42075191),-58.4368044,-34.62147504,AUTO
2019-0037,1,2019-05-01,23.0,AVENIDA,3.0,Point (105091.36704114 101058.15092586),-58.40778291,-34.61971907,AUTO
2019-0038,1,2019-05-04,14.0,AVENIDA,13.0,Point (101025.65409402 109205.71453455),-58.45212523,-34.54628513,MOTO
2019-0039,1,2019-05-09,3.0,AVENIDA,7.0,Point (99615.63172945 99306.93173343),-58.46749188,-34.63551751,AUTO
2019-0040,1,2019-05-09,12.0,CALLE,7.0,Point (101894.68493124 99164.78448252),-58.4426358,-34.63679732,
2019-0041,1,2019-05-11,20.0,AVENIDA,9.0,Point (95590.61347415 96760.29404728),-58.51140289,-34.65846419,MULTIPLE
2019-0042,1,2019-05-14,15.0,CALLE,1.0,Point (107444.95821447 100509.15466740),-58.38211431,-34.62465368,PASAJEROS
2019-0043,1,2019-05-21,9.0,AVENIDA,1.0,Point (108602.89777103 103429.39485413),-58.36951669,-34.59832047,CARGAS
2019-0044,1,2019-05-27,12.0,AVENIDA,5.0,Point (104305.46011381 100986.83752228),-58.41635217,-34.62036547,MOTO
2019-0045,1,2019-06-03,7.0,AVENIDA,14.0,Point (104600.49945984 105930.85721602),-58.41316147,-34.57579669,CARGAS
2019-0046,1,2019-06-04,9.0,GRAL PAZ,13.0,Point (98817.74986778 110096.31367495),-58.47617802,-34.53825652,AUTO
2019-0047,1,2019-06-06,10.0,AVENIDA,4.0,Point (107049.58656184 99550.26208324),-58.38641783,-34.63330028,CARGAS
2019-0048,1,2019-06-07,7.0,AVENIDA,6.0,Point (100924.23883176 100986.01051740),-58.45322169,-34.62038137,CARGAS
2019-0049,1,2019-06-08,9.0,CALLE,13.0,Point (100441.31384072 107499.63270409),-58.45849057,-34.56166498,CARGAS
2019-0050,1,2019-06-08,23.0,AVENIDA,14.0,Point (104128.51577643 103898.77571857),-58.41829559,-34.59411677,CARGAS
2019-0051,1,2019-06-11,10.0,CALLE,4.0,Point (109126.17010339 98991.49558123),-58.36376488,-34.63832093,AUTO
2019-0053,1,2019-06-14,17.0,AVENIDA,8.0,Point (99896.72991309 96585.69018400),-58.46442668,-34.66004784,AUTO
2019-0054,1,2019-06-20,3.0,CALLE,15.0,Point (98264.06251394 104989.86881414),-58.48222035,-34.58428769,OBJETO FIJO
2019-0055,1,2019-06-20,19.0,AVENIDA,1.0,Point (108724.12468316 102928.79394095),-58.36819005,-34.60283208,PASAJEROS
2019-0056,1,2019-06-29,17.0,AVENIDA,7.0,Point (100414.85185956 100661.22751226),-58.45877601,-34.62330939,AUTO
2019-0057,1,2019-07-05,19.0,CALLE,13.0,Point (101957.99726887 107949.81115534),-58.44196498,-34.55760517,AUTO
2019-0058,1,2019-07-10,9.0,AUTOPISTA,10.0,Point (96064.06591151 99221.69236283),-58.50622631,-34.63627822,PASAJEROS
2019-0059,1,2019-07-13,22.0,CALLE,1.0,Point (107261.50953067 99806.16899068),-58.3841088,-34.63099197,PASAJEROS
2019-0060,1,2019-07-17,11.0,AVENIDA,10.0,Point (98376.49615363 99359.41534876),-58.48100602,-34.63504312,AUTO
2019-0061,1,2019-07-17,18.0,CALLE,13.0,Point (101036.85652575 107926.87651681),-58.45200171,-34.5578132,PASAJEROS
2019-0062,1,2019-08-01,23.0,AVENIDA,13.0,Point (101714.11981913 107461.10208167),-58.44462132,-34.56201105,PASAJEROS
2019-0063,1,2019-08-04,1.0,AVENIDA,15.0,Point (101017.68913992 104676.11449993),-58.45220688,-34.58711712,PASAJEROS
2019-0064,1,2019-08-06,3.0,AVENIDA,7.0,Point (100337.26455822 100756.41076314),-58.4596221,-34.6224514,AUTO
2019-0065,1,2019-08-08,16.0,CALLE,4.0,Point (103996.06089673 97239.27066069),-58.4197085,-34.65414867,PASAJEROS
2019-0066,1,2019-08-11,21.0,AVENIDA,7.0,Point (101964.06573044 97768.88820027),-58.44187596,-34.64938031,AUTO
2019-0067,1,2019-08-14,15.0,CALLE,10.0,Point (97458.87181153 98502.45008355),-58.49101637,-34.64276621,CARGAS
2019-0068,1,2019-08-14,17.0,AVENIDA,8.0,Point (103516.29283702 96305.80102228),-58.42493829,-34.66256502,MOTO
2019-0069,1,2019-08-17,5.0,AVENIDA,4.0,Point (105355.77079994 99994.97457130),-58.40489318,-34.62930162,AUTO
2019-0070,1,2019-08-22,12.0,AVENIDA,14.0,Point (103342.29763549 104114.07863350),-58.4268668,-34.59217875,BICICLETA
2019-0071,1,2019-08-27,11.0,AVENIDA,9.0,Point (98504.80160700 97011.97752137),-58.479611,-34.65620398,CARGAS
2019-0072,1,2019-08-28,6.0,AVENIDA,10.0,Point (98982.27543524 99337.43508034),-58.47439934,-34.63524207,AUTO
2019-0073,1,2019-08-29,1.0,AVENIDA,15.0,Point (99649.53744486 105547.74929043),-58.46711912,-34.57926018,OBJETO FIJO
2019-0074,1,2019-08-29,9.0,AUTOPISTA,13.0,Point (99830.29053639 110496.05308488),-58.46514781,-34.53465378,CARGAS
2019-0075,1,2019-08-30,23.0,CALLE,4.0,Point (108029.19662631 97048.95529785),-58.37571078,-34.65584079,PASAJEROS
2019-0076,1,2019-09-05,18.0,AUTOPISTA,4.0,Point (108408.31866027 97219.56223456),-58.37157668,-34.65429986,CARGAS
2019-0077,1,2019-09-08,3.0,AVENIDA,14.0,Point (105980.99138544 105385.93253091),-58.39811256,-34.58070186,AUTO
2019-0078,1,2019-09-12,8.0,AVENIDA,4.0,Point (104770.59856807 97235.72066953),-58.41125934,-34.6541774,CARGAS
2019-0079,1,2019-09-17,5.0,CALLE,5.0,Point (104133.42235616 101175.18161468),-58.41822901,-34.61866836,PASAJEROS
2019-0080,1,2019-09-17,18.0,GRAL PAZ,13.0,Point (98817.74986778 110096.31367495),-58.47617802,-34.53825652,MOTO
2019-0081,1,2019-09-23,16.0,AVENIDA,15.0,Point (100173.09831701 104773.73030321),-58.46141281,-34.58623761,PASAJEROS
2019-0082,1,2019-09-25,7.0,AVENIDA,8.0,Point (103065.99442998 96457.67469916),-58.42985146,-34.6611974,CARGAS
2019-0083,1,2019-09-26,8.0,CALLE,9.0,Point (98049.89254647 96769.28504384),-58.48457413,-34.6583909,AUTO
2019-0084,1,2019-09-27,11.0,CALLE,7.0,Point (99777.28948169 99222.14556838),-58.46572884,-34.63628186,CARGAS
2019-0085,1,2019-10-09,22.0,CALLE,10.0,Point (97311.79828581 99453.65686299),-58.49261744,-34.6341913,TREN
2019-0086,1,2019-10-15,14.0,AVENIDA,15.0,Point (100960.33601283 104532.07598431),-58.45283186,-34.5884156,PASAJEROS
2019-0087,1,2019-10-21,21.0,AVENIDA,12.0,Point (98491.73236150 106110.45743791),-58.47973681,-34.57418656,MOTO
2019-0088,1,2019-10-22,20.0,AVENIDA,4.0,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,PASAJEROS
2019-0089,1,2019-10-23,15.0,AVENIDA,4.0,Point (109247.85081573 99794.76658137),-58.36244648,-34.63107887,CARGAS
2019-0090,1,2019-10-24,18.0,AVENIDA,9.0,Point (96669.91669285 97846.12432372),-58.49962423,-34.64868027,MOTO
2019-0091,1,2019-11-01,20.0,AVENIDA,15.0,Point (101631.52816900 103735.20218464),-58.44551437,-34.59559816,PASAJEROS
2019-0092,1,2019-11-03,10.0,CALLE,4.0,Point (109831.09861352 99447.57530396),-58.35608181,-34.63420319,PASAJEROS
2019-0093,1,2019-11-13,11.0,AVENIDA,11.0,Point (99859.01807773 102240.12407554),-58.46483679,-34.60907662,OTRO
2019-0094,1,2019-11-18,14.0,CALLE,15.0,Point (101799.19412891 103552.67600212),-58.44368628,-34.59724326,OTRO
2019-0095,1,2019-11-20,15.0,AUTOPISTA,1.0,Point (107762.62066755 100018.90176184),-58.37864583,-34.62907067,CARGAS
2019-0096,1,2019-11-22,19.0,AVENIDA,1.0,Point (108041.76772318 100219.10582069),-58.37560352,-34.62726382,PASAJEROS
2019-0097,1,2019-11-25,8.0,AUTOPISTA,9.0,Point (98724.36593359 97905.39654686),-58.47721439,-34.64815069,MULTIPLE
2019-0098,1,2019-11-25,14.0,AVENIDA,15.0,Point (101097.15913487 104373.72916577),-58.45134029,-34.58984288,PASAJEROS
2019-0100,1,2019-12-05,17.0,AVENIDA,12.0,Point (97512.85370485 105056.21473822),-58.49040794,-34.58368803,AUTO
2019-0101,1,2019-12-17,4.0,AVENIDA,4.0,Point (103875.40694167 97709.33732832),-58.42102679,-34.64991178,MOTO
2019-0102,1,2019-12-17,14.0,CALLE,9.0,Point (94600.31582329 98648.40911008),-58.52219407,-34.64143926,AUTO
2019-0103,1,2019-12-18,,GRAL PAZ,11.0,Point (94643.11254058 103831.57115061),-58.52169422,-34.5947164,MOTO
2019-0104,1,2019-12-21,4.0,AVENIDA,10.0,Point (98963.45381519 99690.23941640),-58.47460416,-34.63206174,AUTO
