ID_HECHO,N_VICTIMAS,FECHA,HORA,COMUNA,TIPO_DE_CALLE,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
LC-2020-0068363,1,2020-02-01,12.0,10,GRAL PAZ,Point (93907.0706067036 100124.121315756),-58.529744563666,-34.62813272236,
LC-2020-0068518,1,2020-02-01,15.0,3,CALLE,Point (105724.71937651 102581.401521943),-58.400886952299,-34.60598457142,AUTO
LC-2020-0068862,1,2020-02-01,18.0,8,AUTOPISTA,Point (101692.57924565 95312.6382264695),-58.444832589068,-34.671522262145,
LC-2020-0068902,1,2020-02-01,19.0,1,CALLE,Point (106821.466601955 99634.6624724161),-58.38890636229,-34.632540995322,AUTO
LC-2020-0068909,2,2020-02-01,20.0,1,AVENIDA,Point (107547.522909504 100786.867056927),-58.380998330204,-34.622149537067,AUTO
LC-2020-0068977,1,2020-02-01,22.0,9,CALLE,Point (97301.2141737948 97219.0573858485),-58.492740138361,-34.654334766227,AUTO
LC-2020-0069268,1,2020-02-02,3.0,14,AVENIDA,Point (102651.019739559 107141.669610294),-58.43441134191,-34.564888635015,AUTO
LC-2020-0069271,1,2020-02-02,4.0,8,,Point (97853.429948 93841.223379),-58.486725,-34.684785,AUTO
LC-2020-0069286,4,2020-02-02,4.0,4,AVENIDA,Point (108452.382128778 99888.0255331605),-58.371122460945,-34.630245028478,OBJETO FIJO
LC-2020-0069427,1,2020-02-02,7.0,3,AVENIDA,Point (105592.542379567 100568.791417084),-58.402314851021,-34.624127771314,AUTO
LC-2020-0069636,1,2020-02-02,12.0,12,CALLE,Point (99390.4576351931 109157.909036036),-58.469939970083,-34.546716316696,AUTO
LC-2020-0069739,1,2020-02-02,15.0,,,,,,AUTO
LC-2020-0069786,1,2020-02-02,15.0,3,AVENIDA,Point (106196.589668506 101227.525485058),-58.395732674166,-34.618186245164,
LC-2020-0069841,1,2020-02-02,15.0,9,AVENIDA,Point (96929.9864762978 98106.396280685),-58.496786456199,-34.646334914292,AUTO
LC-2020-0069923,1,2020-02-02,17.0,9,CALLE,Point (97272.759423811 97075.4452995945),-58.493051013101,-34.655629258622,AUTO
LC-2020-0070172,1,2020-02-02,20.0,15,AVENIDA,Point (103239.071722354 103421.375060709),-58.427989426418,-34.598423412176,AUTO
LC-2020-0070318,1,2020-02-03,23.0,1,AVENIDA,Point (107391.871312212 103747.111096467),-58.382721213907,-34.595465813461,AUTO
LC-2020-0070340,1,2020-02-03,23.0,6,AVENIDA,Point (102571.149248758 100369.979751003),-58.435261622881,-34.62593179799,AUTO
LC-2020-0070354,1,2020-02-03,23.0,1,AVENIDA,Point (107212.546862021 101764.998990082),-58.384659304805,-34.613334660676,
LC-2020-0070572,1,2020-02-03,5.0,,,,,,
LC-2020-0070858,1,2020-02-03,9.0,12,AVENIDA,Point (98887.9147702284 109889.37768673),-58.475413964311,-34.540122035228,MOTO
LC-2020-0071163,1,2020-02-03,9.0,,,,,,
LC-2020-0071330,1,2020-02-03,11.0,15,AVENIDA,Point (100436.778178917 105644.26867693),-58.458539162674,-34.578390120651,AUTO
LC-2020-0071366,1,2020-02-03,11.0,4,CALLE,Point (103544.825066453 97423.2109400909),-58.42463162161,-34.652492212401,AUTO
LC-2020-0071405,1,2020-02-03,12.0,7,AVENIDA,Point (99354.2439504385 99957.0900069052),-58.470342093027,-34.629656593389,MOTO
LC-2020-0071625,1,2020-02-03,17.0,7,AVENIDA,Point (102071.865075148 97831.769101138),-58.440700240929,-34.648813281889,MOTO
LC-2020-0071825,1,2020-02-03,15.0,13,AVENIDA,Point (98817.74986778 110096.313674954),-58.476178020985,-34.538256524689,
LC-2020-0072178,1,2020-02-03,17.0,13,AVENIDA,Point (100830.447997805 107143.61187153),-58.454250033857,-34.56487411169,TRANSPORTE PUBLICO
LC-2020-0072180,1,2020-02-03,15.0,13,AVENIDA,Point (100745.427009456 105582.219142598),-58.455175235708,-34.578949302772,AUTO
LC-2020-0072316,1,2020-02-03,14.0,5,AVENIDA,Point (103419.642146141 99992.9374995635),-58.42600737206,-34.629328170684,TRANSPORTE PUBLICO
LC-2020-0072411,1,2020-02-03,19.0,15,AVENIDA,Point (101332.481488597 103485.211281076),-58.448773898256,-34.597852107001,MOTO
LC-2020-0072428,1,2020-02-03,0.0,1,AVENIDA,Point (108378.079697394 104566.084573083),-58.371978645639,-34.588075713981,CAMIONETA
LC-2020-0072615,1,2020-02-03,18.0,3,AVENIDA,Point (106026.617822147 102182.279283755),-58.397592751885,-34.609580712193,
LC-2020-0072702,1,2020-02-03,16.0,2,AVENIDA,Point (106745.650979185 104656.289647575),-58.389772783638,-34.587274495571,AUTO
LC-2020-0072887,1,2020-02-04,22.0,3,AVENIDA,Point (105258.353685547 102122.932314005),-58.405968607725,-34.61011987251,MOTO
LC-2020-0072912,1,2020-02-04,23.0,14,AVENIDA,Point (105241.055629827 105080.521026575),-58.406175269075,-34.583458982072,AUTO
LC-2020-0072959,1,2020-02-04,21.0,14,AVENIDA,Point (103286.903257091 107774.354296936),-58.427484552009,-34.559183506327,AUTO
LC-2020-0072962,1,2020-02-04,23.0,1,AVENIDA,Point (108069.689868145 104046.200180244),-58.375335179965,-34.592764629935,TAXI
LC-2020-0073335,1,2020-02-04,8.0,5,CALLE,Point (103979.110463115 102168.900213619),-58.419916228742,-34.609711187056,AUTO
LC-2020-0073550,1,2020-02-04,10.0,12,GRAL PAZ,Point (96082.9664732474 107261.968738333),-58.505982565947,-34.563799805439,MOTO
LC-2020-0073614,1,2020-02-04,11.0,,,,,,AUTO
LC-2020-0073707,1,2020-02-04,11.0,7,AVENIDA,Point (99875.6836095097 100561.982765072),-58.464655447691,-34.624204077674,
LC-2020-0073721,1,2020-02-04,11.0,15,AVENIDA,Point (102297.980083329 104482.923390476),-58.438251383197,-34.588856636767,AUTO
LC-2020-0073731,1,2020-02-04,3.0,9,AVENIDA,Point (99624.2979582905 97569.698011312),-58.467398254764,-34.651177578013,
LC-2020-0073810,1,2020-02-04,19.0,13,AVENIDA,Point (98817.74986778 110096.313674954),-58.476178020985,-34.538256524689,TRANSPORTE PUBLICO
LC-2020-0073900,1,2020-02-04,12.0,15,AVENIDA,Point (101034.990031654 102562.881523185),-58.452015865035,-34.60616670834,TAXI
LC-2020-0074097,1,2020-02-04,12.0,12,CALLE,Point (97749.8474194136 105156.693502273),-58.487824584948,-34.582782831924,TRANSPORTE PUBLICO
LC-2020-0074244,1,2020-02-04,14.0,6,AVENIDA,Point (103255.813156502 100797.78656418),-58.427797026441,-34.622073471294,AUTO
LC-2020-0074612,1,2020-02-04,14.0,3,AVENIDA,Point (106590.314471438 100583.733179465),-58.391434573837,-34.623987209139,
LC-2020-0074623,1,2020-02-04,15.0,15,CALLE,Point (97661.0556297192 104930.869993786),-58.488792988689,-34.584818304316,AUTO
LC-2020-0074728,1,2020-02-04,19.0,3,AVENIDA,Point (106523.29601332 100220.46763478),-58.392162616784,-34.627262249541,
LC-2020-0074782,1,2020-02-04,18.0,3,CALLE,Point (105511.316813914 101397.253034345),-58.403205920125,-34.616660126183,
LC-2020-0074786,2,2020-02-04,16.0,15,AVENIDA,Point (98830.2043388568 105206.048709129),-58.476049389406,-34.582339777548,AUTO
LC-2020-0074921,2,2020-02-04,17.0,11,AVENIDA,Point (98487.119855546 101717.920914623),-58.479795188176,-34.613782804346,MOTO
LC-2020-0074934,1,2020-02-04,17.0,3,AVENIDA,Point (106569.179341379 101124.99413794),-58.391669202732,-34.619108205457,AUTO
LC-2020-0075062,1,2020-02-04,18.0,13,AVENIDA,Point (100622.7577172 109085.535188519),-58.456514521183,-34.547368789326,
LC-2020-0075065,1,2020-02-04,16.0,5,AVENIDA,Point (104737.710919666 99424.2361850545),-58.411630200931,-34.634449489163,AUTO
LC-2020-0075183,1,2020-02-04,18.0,1,AVENIDA,Point (108456.681824221 103513.247445455),-58.371111469899,-34.597565799886,AUTO
LC-2020-0075198,1,2020-02-04,20.0,7,AVENIDA,Point (102880.339561634 99017.7155841881),-58.431885417265,-34.638120818056,AUTO
LC-2020-0075223,1,2020-02-04,18.0,9,AVENIDA,Point (98577.604308398 96830.1852322512),-58.478817125698,-34.657842829992,
LC-2020-0075277,1,2020-02-04,20.0,12,CALLE,Point (97704.8215692985 107193.959344226),-58.48830970265,-34.564417861531,AUTO
LC-2020-0075334,1,2020-02-04,21.0,3,CALLE,Point (104678.999094511 102199.859782948),-58.412285647816,-34.609429190239,TRANSPORTE PUBLICO
LC-2020-0075528,1,2020-02-05,23.0,8,CALLE,Point (97040.225546162 95230.6657473185),-58.495594253983,-34.672258060031,
LC-2020-0075593,2,2020-02-05,0.0,3,AVENIDA,Point (105294.783351144 101867.688353651),-58.405569844133,-34.612420560635,
LC-2020-0075649,2,2020-02-05,23.0,15,AVENIDA,Point (102158.844174498 103360.588770429),-58.439765195935,-34.59897414753,TRANSPORTE PUBLICO
LC-2020-0075735,1,2020-02-05,5.0,1,CALLE,Point (107387.058250327 103876.264372894),-58.382774795878,-34.594301604803,
LC-2020-0075787,1,2020-02-05,7.0,7,AVENIDA,Point (103518.884480271 98760.3815127081),-58.424920060067,-34.640438564184,AUTO
LC-2020-0075877,1,2020-02-05,9.0,8,CALLE,Point (99888.5042957977 93964.0637038981),-58.464516939262,-34.68368003401,AUTO
LC-2020-0075886,1,2020-02-05,8.0,3,CALLE,Point (106417.948436031 100297.465249649),-58.393312020113,-34.626568822423,CAMIONETA
